cleaned_text	lemm_text
Я восстановлю свое материальное тело, в котором я раньше существовало!	я восстановить свой материальный тело который ранний существовать
Боже. Цветовое телевидение!	бог цветовой телевидение
- Значит ваш народ хотел остановить Вас? - Они казнили меня.	значит ваш народ хотеть остановить вы они казнить я
Но я убежала, в эту форму.	но убежать форма
Спустилась суда со звезд.	спуститься суд звезда
И теперь, Вы заперты в телевизоре.	и теперь вы запереть телевизор
Не на долго.	не долго
- Доктор! Это то, что захватило Грейн? - Да, Томми.	доктор это то захватить грейн да томми
Оно кормится электрической энергией мозга.	оно кормиться электрический энергия мозг
Оно объедается как большая, перекормленная свинья.	оно объедаться большой перекормить свинья
- Забирает вместе с лицами людей, их души. - И Вы позволяете ей делать это, Магпи.	забирать вместе лицо человек душа и вы позволять делать это магпить
Я должен. Она оставило мне мое лицо и обещала освободить меня во время Коронации.	я должный она оставить мой лицо обещать освободить время коронация
- Что это значит?! - Назначенное время.	что это значит назначить время
Моей коронации!	мой коронация
Доктор! Коронация.	доктор коронация
Впервые в истории, миллионы собрались вокруг телевизоров.	впервые история миллион собраться вокруг телевизор
Но Вы же не достаточно сильны?	но вы достаточно сильный
Вы не сможете сделать это отсюда.	вы смочь сделать это отсюда
Именно поэтому Вы нуждаетесь в этом! И она нуждается в большей энергии.	именно поэтому вы нуждаться это и нуждаться больший энергия
Это превратит передатчик в большой приемник.	это превратить передатчик большой приёмник
Какой же вы умный.	какой умный
Но зачем вам думать об этом?	но думать это
Почему бы не расслабится? Присядьте и насладитесь Коронацией.	почему расслабиться присесть насладиться коронация
Поверьте, Вы будете приклеены к экрану!	поверьте вы быть приклеить экран
- Доктор! - О, мой... - Голод! Голод!	доктор о мой голод голод
Я так голодна! О! Просто объеденье!	я голодный о просто объедение
О! Я потолстею из-за него.	о я потолстеть изз он
Восхитительно!	восхитительно
Оружие!	оружие
Вооружен и опасен.	вооружённый опасный
Отступаю! Отступаю!	отступать отступать
Коробка, Магпи, коробка!	коробка магпить коробка
Замрите!	замереть
Ведите меня к победе, Магпи!	вести победа магпить
Голод! Голод!	голод голод
Покормите меня!	покормить я
