cleaned_text	lemm_text
Николай Степаныч, произошел взрыв метана, сопряжение завалено.	николай степаныч произойти взрыв метан сопряжение завалить
За завалом находится тринадцать человек.	за завал находиться тринадцать человек
Двенадцать человек направлены по свежей струе воздуха	двенадцать человек направить свежеть струя воздух
для выхода к вентиляционному стволу.	выход вентиляционный ствол
Чья бригада в завале?	чей бригада завал
В завале находятся люди бригады Барыкина.	в завал находиться человек бригада барыкин
Михалыч!!!Док!!!	михалычдка
Федор!!!	фёдор
Гриш, я сейчас! Гриш, подожди меня, Гриш!	гриша сейчас гриша подождать я гриша
Я щас приду, Гриш!	я щас прийти гриша
Федор!!!	фёдор
Петруха, я здесь!	петруха здесь
Щас щас щас, Петрух!	щас щас щас петрух
Щас...	щас
Петь!	петь
Петруха!	петруха
Все нормально...	весь нормальный
Нога!!! Нога!!!	нога нога
Все нормально, Петруха.	весь нормальный петруха
Придавило! Ааааа!!!	придавить ааааа
Щас, щас, щас, щас мы твою ногу освободим, ты только...	щас щас щас щас твой нога освободить только
Щас, щас, погоди...	щас щас погодить
Все нормально, Петруха...	весь нормальный петруха
Щас, Петь, подожди.	щас петь подождать
Ну-ка... Подожди...	нук подождать
Больно! Ааааа!!!	больно ааааа
Погоди-погоди!!!	погодипогодь
Щас, Петруха! Погоди, погоди!	щас петруха погодить погодить
Ааааа!!!	ааааа
Ааа! Зараза! Щас, Пертуха, погоди!	ааа зараза щас пертуха погодить
Щас, Петруха, подожди, подожди...	щас петруха подождать подождать
Ааааа!!!	ааааа
Док!	док
Ты глаза не закрывай, Петь! Ну говори, говори что-нибудь, Петь!	ты глаз закрывать петь ну говорить говорить чтонибыть петь
Ну не молчи, Петь!	ну молчать петь
Уйди...	уйти
Дорогие мои! Ну я прошу вас! Ну авария, вы знаете, взрыв метана.	дорогой мой ну просить вы ну авария знаете взрыв метан
Я прошу вас, сохраняйте спокойствие и терпение!	я просить вы сохранять спокойствие терпение
Я прошу вас, сохраняйте спокойствие и терпение.	я просить вы сохранять спокойствие терпение
И нам остается только надеяться, потому что все службы работают,	и мы оставаться надеяться служба работать
все работает, как часы.	работать часы
Мы приложим все усилия к тому, чтобы спасти как можно больше людей,	мы приложимый усилие тот спасти человек
я уверен, что нам это удастся!	уверенный мы это удаться
Я щас, Гриша.	я щас гриша
Ты чего, Федор?	ты что фёдор
Вода прибывает, захлебнется Петруха.	вод прибывать захлебнуться петруха
Гриш, Петрухе ногу заклинило, рубить надо.	гриша петруха нога заклинить рубить надо
Как... рубить?	как рубить
Тебя я больше не увижу...	ты увидеть
Тебя я больше не увижу...	ты увидеть
Несут с пробитой головой...	нести пробить голова
Давай, пошли.	давать послать
Вместе.	вместе
Гриш, пошли!	гриша послать
Гриш!Да ты чего, Гриш?	гришд что гриша
Гриш! Гриш, ну че? Ну пошли, Гриш!	гриша гриша че ну послать гриша
Ну давай! Надо, Гриш!	ну давать надо гриша
Отпилим и все, а? Гриш!	отпилить весь а гриша
Я боюсь.	я бояться
Гриш, я тоже боюсь.	гриша бояться
Для храбрости.	для храбрость
Давай.	давать
Вот и все...	вот весь
Может, оно и к лучшему.	мочь оно хороший
И рубить не надо. За упокой.	и рубить надо за упокой
За упокой.	за упокой
А мне? Че, похоронили,да?	а я че похоронилид
Блин, второй удар освободил.	блин два удар освободить
Петруха!	петруха
Ну вы мне нальете? Че смотрите-то?	ну налить че смотритеть
Гриша, наливай!	гриша наливать
Петруха, иди сюда!	петруха идти сюда
Когда мы были на войне когда мы были на войне	когда война война
там каждый думал о своей любимой или о жене.	каждый думать свой любимый жена
Там каждый думал о своей любимой или о жене.	там каждый думать свой любимый жена
Я конечно думать мог и я конечно думать мог	я думать мочь думать мочь
когда на трубочку глядел на голубой ее дымок	трубочка глядеть голуба дымка
когда на трубочку глядел на голубой ее дымок.	трубочка глядеть голуба дымка
Я только верной пули жду я только верной пули жду	я верный пуля ждать верный пуля ждать
чтоб утолить печаль свою и чтоб пресечь нашу вражду	утолить печаль пресечь наш вражда
чтоб утолить печаль свою и чтоб пресечь нашу вражду.	утолить печаль пресечь наш вражда
Когда мы будем на войне когда мы будем на войне	когда быть война быть война
навстречу пулям полечу на вороном своем коне...	навстречу пуля полечить ворон свой кон
Сем!	сем
Сем, подожди!	сем подождать
Как же так, дядь Федь, что мой отец видел?	как так десть федя отец видеть
Мать жалко.	мать жалко
Катьку жалко.	катька жалко
Всех жалко.	весь жалко
Да что отец в жизни видел?	да отец жизнь видеть
Держись, Сем, держись! Ты, Сема, теперь за старшего.	держаться сем держаться ты сема старший
Поплачь, Сема, поплачь! Легче будет.	поплакать сема поплакать лёгкий быть
Субтитры: Lynx© http://dxp.ru	субтитр lynx© httpdxpru
