cleaned_text	lemm_text
Действительно, этот дом купается в гостеприимстве!	действительно дом купаться гостеприимство
-Дверь захлопнулась. -Видишь, а ты мне не верил!	дверь захлопнуться видеть верить
Но что мне делать? Ключ остался дома.	но делать ключ остаться дом
Перейди через балкон, как он.	перейти балкон он
Ладно, не буду Вам мешать работать. До свидания.	ладный быть вы мешать работать до свидание
-Ты остаешься? -Нет, нет, я тоже иду.	ты оставаться нет нет идти
Спасибо. До свидания, Ева.	спасибо до свидание ева
А где полотно, которое ты выбрала?	а полотно который выбрать
Я его заказала Яну. Он обещал нарисовать к твоему дню рождения.	я заказать ян он обещать нарисовать твой день рождение
Это портрет моей жены в стиральной машине, в моторе велосипеда?	это портрет мой жена стиральный машина мотор велосипед
Это будет сюрприз!	это сюрприз
Позвольте проигласить вас обоих к нам.	позволить проигласить оба мы
-Это очень мило. -В пятницу вечером, вам удобно?	это очень мило в пятница вечером удобно
Да, да, дорогая?	да да дорогой
Извините. Вы позволите?	извинить вы позволить
Спасибо!	спасибо
Что с твоей рукой?	что твой рука
Ты ранен!	ты раненый
Моя жена прекрасно ладит с нашим соседом. Они очень дружны.	мой жена прекрасно ладить наш сосед они очень дружный
Сейчас ты мне веришь?	сейчас верить
Я не знаю, не знаю...	я знать знать
Прошу.	просить
-Договорились. Мы вас ждем у нас. -Хорошо. Вы очень любезны.	договориться мы ждать мы хорошо вы очень любезный
Ты - ненормальный!	ты ненормальный
Этим двоим понравилось!	это двоить понравиться
О, нееет!	о нееет
Подойди.	подойти
Можно 5 минут отдыха!?	можно 5 минута отдых
Было бы замечательно. Но это Вы все время звоните в мою дверь!	быть замечательный но это вы время звонить мой дверь
Что Вам нужно?	что вы нужно
Сквозняк захлопнул дверь. Да, мою тоже!	сквозняк захлопнуть дверь да мой тоже
Я хотел бы перейти через балкон, если Вас не затруднит...	я хотеть перейти балкон вы затруднить
-Идите. Быстрей. -Спасибо!	идти быстрый спасибо
В этом доме не осталось ничего личного.	в дом остаться личный
Только со мной могло такое случиться!	только я мочь такой случиться
Продолжается! Замечательно!	продолжаться замечательный
Мне очень жаль, но я оставила у Вас свои вещи.	я очень жаль оставить вы свой вещий
Молчите. Я понял. Держите.	молчать я понять держать
-Но это пистолет! -Да, да. Слушайте.	но это пистолет да да слушать
-Давайте! -Что?	давать что
-Цельтесь в сердце. -Вы что?	целиться сердце вы что
Вы решили меня уничтожить, это очевидно! Тогда, закончим!	вы решить уничтожить это очевидно тогда закончить
Облегчите мои страдания, умоляю! Стреляйте!	облегчить мой страдание умолять стрелять
Послушайте, хватит. Возмите это. Я ненавижу оружие. Возьмите.	послушать хватить возмитя это я ненавидеть оружие взять
-Нет. -Я сойду с ума с вами обоими, точно!	нет я сойти ум вы оба точно
-Флоранс! -Нет! Ева! Не делайте этого!	флоранс нет ева не делать это
-Успокойтесь! -Но я спокойна.	успокоиться но спокойный
Дайте мне сказать! Вы совершите непоправимое! Вы молоды!	дать сказать вы совершить непоправимый вы молодой
Ева, что ты делаешь? С ума сошла?	ева делать с ум сойти
Оставайтесь на месте! Не двигайтесь!	оставаться место не двигаться
Послушайте! Я видела, как подло он с Вами обошелся...	послушать я видеть подло вы обойтись
-Подло обошелся с тобой! -Не вмешивайтесь!	подло обойтись ты не вмешиваться
Каковы бы ни были мучения и униже- ния, которые он Вам причинил...	каков мучение униже ния который вы причинить
Мучения и унижения, которые он тебе причинил!	мучение унижение который ты причинить
Флоранс, Вы это не серьезно...	флоранс вы это серьёзно
Замолчите! Он не стоит того.	замолчать он стоить тот
-Отдайте мне! -Возьмите.	отдать я взять
Вы все сошли с ума! Это была шутка! Это - зажигалка!	вы сойти ум это шутка это зажигалка
Зажигалка! Смотрите.	зажигалка смотреть
Мой пистолет! Заряженный! О, Господи!	мой пистолет зарядить о господь
О, Господи!	о господь
Господи!	господь
Вы обезумели, друг мой! А если бы Вы убили кого-нибудь!	вы обезуметь друг мой а вы убить когонибудь
В шкафу, рядом с холодильником моя зажигалка, завернутая в ткань.	в шкаф ряд холодильник зажигалка завернуть ткань
Принесите ее, пожалуйста.	принести она пожалуйста
-Держите. -Вот моя зажигалка! Глупая история!	держать вот зажигалка глупый история
Надо положить зажигалку вместо пистолета! Ради Бога!	надо положить зажигалка вместо пистолет ради бог
Вы абсолютно безрассудны!	вы абсолютно безрассудный
-Главное, что Вы здесь! -Да, уж.	главный вы здесь да уж
Пейте!	пить
Но я не понимаю, Флоранс. Я же видел Вас, садящейся в такси...	но понимать флоранс я видеть вы садиться такси
Да, да. Я сделала круг по кварталу и вернулась.	да да я сделать круг квартал вернуться
Потому что мне нужно поговорить с Вами.	потому нужно поговорить вы
-Мне нехорошо, голова кружится... -Ложитесь, сюда...	я нехорошо голова кружиться ложиться сюда
Держите, это Вам поможет...	держать это вы помочь
Спасибо. Вы - замечательная! Я Вас люблю.	спасибо вы замечательный я вы любить
Ева!	ева
Сейчас не время. Ты что, не видишь, что ему плохо?	сейчас время ты что видеть плохо
Надо вызвать врача!	надо вызвать врач
Не надо, это - нервы. Через две минуты пройдет.	не надо это нерв через два минута пройти
-Уже лучше. -Правда?	уже хороший правда
Я все объясню. Флоранс. Я объясню.	я объяснить флоранс я объяснить
Служба спасения?	служба спасение
Почему он вызывает службу спасения?	почему вызывать служба спасение
Тебе же сказали, что не надо! Борис!	ты сказать надо борис
Вы его ранили! Борис!	вы ранить борис
-У Вас есть аптечка? -Сейчас.	у вы аптечка сейчас
-Иди ложись, иди. -Меня хотели застрелить, я ранен.	идти ложиться идти я хотеть застрелить раненый
Дайте мне и ложитесь.	дать ложиться
Улица Лозье 36, 6 этаж, быстрей, пожалуйста.	улица лозий 36 6 этаж быстрый пожалуйста
