cleaned_text	lemm_text
- Я ведь ничего не говорил? - Хорошо.	я говорить хорошо
Я не могу представить, что ты живёшь по-другому.	я мочь представить жить подругий
А я могу представить тебя с Бернаром Тревисом.	а мочь представить бернар тревис
Да?	да
Ты думаешь, родители ничего не могут понять?	ты думать родитель мочь понять
Он тебе ещё не надоел?	он ты ещё надоесть
Нет. Иначе, мы бы не встречались.	нет иначе встречаться
Так ты встречаешься с ним?	так встречаться он
Я имею в виду - не ходила бы с ним в кино.	я иметь вид ходить кино
Странно, почему дети и родители никогда об этом не говорят?	странно почему ребёнок родитель говорят
"- О чём? - ""Об этом."""	о что о это
У тебя осталась только одна.	у остаться один
А когда потерялась другая?	а потеряться другой
- У тебя были две ямочки. - Я знаю.	у два ямочка я знать
- Куда делась другая? - Ей надоело, она ушла.	куда деться другой она надоесть уйти
Я видел тебя каждый день и не замечал.	я видеть каждый день замечать
Не переживай. Тебе хорошо и с одной.	не переживать ты один
Всё хорошо. Иди, ложись.	весь хорошо идти ложиться
Спокойной ночи.	спокойный ночь
У нас был хороший разговор на этот раз.	у хороший разговор раз
Пока.	пока
Дышите свежим воздухом? Кофе?	дышать свежий воздух кофе
Да, кофе, пожалуйста.	да кофе пожалуйста
- Кого-нибудь ждёте? - Нет.	когонибудь ждать нет
А я упускаю шанс! Нужно работать.	а упускать шанс нужно работать
Привет, Сюзанна.	привет сюзанна
Что читаешь?	что читать
<i>Борис Виан, Сердцедёр. Интересно?</i>	iборис виан сердцедёр интересноi
- Конечно, я ведь читаю. - О чём это?	конечно читать о что это
Долго рассказывать.	долго рассказывать
- Я мешаю тебе. - Нет, я не тороплюсь.	я мешать ты нет торопиться
- Прогуливаешь уроки? - Нет, просто гуляю.	прогуливать урок нет просто гулять
Можно посижу с тобой - я жду друга.	можно посидеть ты ждать друг
Если хочешь.	если хотеть
Я вижу - тебе скучно одной.	я видеть ты скучно один
Нет, не скучно. Немного расстроена.	нет скучно немного расстроить
Не позволяй себе этого. Что-то личное?	не позволять это чтоть личный
У тебя потрясающая улыбка. Наверное, все говорят.	у потрясать улыбка наверное говорят
С трех лет это слышу.	с три год это слышать
Я не оригинален. Но это правда.	я оригинальный но это правда
Отец ушёл от нас.	отец уйти мы
Пора вставать. Опаздаешь.	пора вставать опаздавать
- Обязательно это делать? - Ты опять не погасила свет.	обязательно это делать ты погасить свет
- Ты ведь не платишь по счетам. - Оставь меня в покое.	ты платить счёт оставить покой
Надевай ночную рубашку. Неприлично спать так.	надевать ночной рубашка неприлично спать так
- Почему? - Так не спят.	почему так спать
Поторопись. Опаздаешь.	поторопиться опаздавать
Привет, Ричард. Что ты учишь?	привет ричард что учить
Математику.	математик
У меня контрольная.	у контрольный
<i>Прошлой ночью, мне приснился странный соен.</i>	iпрошлый ночью присниться странный соенi
<i>Я спускалась в метро.</i>	iя спускаться метроi
И кто-то крепко схватил меня за руку.	и ктоть крепко схватить рука
Я обернулась. Это был Люк, и он сказал...	я обернуться это люк сказать
"""Теперь ты стала сукой, и я буду относиться к тебе, как к суке"""	теперь стать сука быть относиться ты сука
Он тащил меня за собой.	он тащить себя
<i>- Потом я проснулась. - Это раскаяние, мой друг.</i>	i потом проснуться это раскаяние другi
Странно. Ведь я даже не вспоминала о нём.	странно ведь вспоминать он
Ты занимаешься?	ты заниматься
Хозяин кафе положил на тебя глаз.	хозяин кафе положить глаз
Отстань! Этот толстый неряха?	отстать этот толстый неряха
А с другой стороны - Ричард...	а сторона ричард
Я думаю, ему никак не выбрать между нами.	я думать никак выбрать мы
Смотри, кто идёт.	смотреть идти
Можно тебя на минуту?	можно минута
Куда?	куда
Ты видела? Невероятно!	ты видеть невероятно
- Только что говорили о нём. - Я хочу посмотреть.	только говорить он я хотеть посмотреть
Невероятно. Она говорила, как в бреду.	невероятно она говорить бреда
И теперь она с Люком.	и люк
- Не ожидала меня увидеть? - Да. Не могу в себя придти.	не ожидать увидеть да не мочь прийти
Ты хотела меня увидеть?	ты хотеть увидеть
Я звонила несколько раз, но не могла говорить.	я звонить несколько раз мочь говорить
- Можно я поцелую тебя. - Перестань.	можно поцелуй ты перестать
Я люблю тебя.	я любить ты
Тебе нечего мне сказать?	ты нечего сказать
Ты вернулся, чтобы спать со мной?	ты вернуться спать я
Потому,что ты знаешь - я делала это с другими.	потомучто знаешь делать это другой
Но с тобой я не буду этого делать, слышишь?	но ты быть делать слышать
Никогда.	никогда
Потому, что ты - ублюдок.	потому ублюдок
- Это твоё последнее слово? - Да.	это твой последний слово да
- И ничего больше не скажешь? - Нет.	и сказать нет
- Что я сделал тебе? - Хочешь знать? Я скажу.	что сделать ты хотеть знать я сказать
Ты мне противен.	ты противный
Я ухожу.	я уходить
Ты уверена...	ты уверить
Люк, не стой тут.	люк стоять тут
Пойдём.	пойти
Я не хотела быть такой.	я хотеть такой
Но я слишком хорошо всё понимаю.	но слишком весь понимать
Минуту назад ты так не думала.	минута назад думать
- Но это было другое. - В чём - другое?	но это другой в что другой
Мы этим занимались.	мы это заниматься
Понимаешь, при этом всё забываешь...	понимать весь забывать
Ты - волосатый.	ты волосатый
Тебе не нравится?	ты нравиться
Нравится - я же здесь.	нравиться здесь
Правда?	правда
Неинтересно жить, если никого не любишь.	неинтересно жить никто любить
Не то, чтобы я никого не любила.	не то никто любить
Я обожаю своего отца.	я обожать свой отец
Но этого мало.	но мало
И это пугает меня.	и это пугать я
Моё сердце будто высохло.	мой сердце высохнуть
- Ты любила кого-нибудь? - Да.	ты любить когонибудь да
Почему ты не с ним?	почему он
Сама виновата - не понимала, что делаю.	сам виноватый понимать делать
Часто о нём вспоминаешь?	часто он вспоминать
Иногда.	иногда
Но я не хочу об этом говорить.	но хотеть говорить
Я знаю, что тебе нужно.	я знать ты нужно
Крепкий парень.	крепкий парень
Чтобы держал тебя в руках.	чтобы держать рука
Не знаю. Может быть.	не знать мочь быть
Я уверен.	я уверенный
Кто знает?	кто знать
Ты встретишь его. Ты ведь ещё молода.	ты встретить он ты ещё молодой
Не знаю. Иногда я думаю, что ничего больше не будет.	не знать иногда думать быть
И ещё у меня:	и ещё я
Когда я встречаюсь с парнем, я думаю о папе.	когда встречаться парень думать папа
И столько дурацких вопросов у меня в голове.	и столько дурацкий вопрос голов
Понравился бы он папе?	понравиться папа
Посчитал бы папа его достойным?	посчитать папа достойный
Слушай, а ты - серьёзная девица.	слушай серьёзный девица
Думаю, да.	думать да
Что ты делаешь?	что делать
Иди спать.	идти спать
Безумие - так поздно работать.	безумие поздно работать
Я иду к себе.	я идти себя
Куда она его дела?	куда дело
Что за чёрт!	что чёрт
