cleaned_text	lemm_text
Спокойной ночи, мишка.	спокойный ночь мишка
Пока.	пока
Томми? Я сейчас вытрусь, а потом придушу тебя.	томми я вытереться придушить ты
Томми? Триш?	томми триша
Есть кто дома?	есть дом
Гордон?	гордон
Где Томми?	где томми
Гордон?	гордон
Где Триш?	где триша
Да куда они подевались?	да подеваться
Гордон?	гордон
Гордон?	гордон
Гордон?	гордон
Гордон?	гордон
Осторожно!	осторожно
Можно помедленнее? Вечеринка всё равно до утра.	можно медленный вечеринка весь равно утро
У меня леденцы вылетят.	у леденец вылететь
Мам, мы пришли.	мама прислать
Мам?	мама
- Где она? - Не знаю.	где она не знать
Мам?	мама
Мам?	мама
- Тут её нет. - Может, ещё на пробежке.	тут её нет мочь ещё пробежка
Она так долго не бегает. Да ещё и в дождь.	она долго бегать да ещё дождь
- Я пошла искать. - Я тоже.	я пошлый искать я тоже
Нет, будь здесь. Вдруг она придёт.	нет быть здесь вдруг прийти
- Я с тобой! - Останься и почини свет.	я ты остаться починить свет
- Ты что тут делаешь? - Ты что, убить меня хочешь?	ты делать ты что убить хотеть
Тина?	тина
Нет, ничего.	нет ничто
Говори.	говорить
Скажи. Я… Это…	сказать я… это…
Как это…	как это…
Я — полный отстой?	я — полный отстой
- Что? - Я — отстой?	что я — отстой
Нет.	нет
Ты… Ты знаешь кто?	ты… ты знаешь кто
Сказать тебе честно?	сказать ты честно
Ты лучше всех.	ты весь
- И я опять тебя хочу. - И я.	и хотеть и я
Подожди. Я сейчас.	подождать я сейчас
Приколись.	приколоться
Загрузи эти данные в свой комп, медвежонок.	загрузить дать свой комп медвежонок
Поздравляю, Джимбо.	поздравлять джимбо
Где та бутылка вина? Можно отпраздновать.	где тот бутылка вино можно отпраздновать
Кажись, я её выпил.	казаться её выпить
Я лучше всех!	я весь
Лучше всех. Лучше.	хороший весь хороший
Это любовь, Тедди!	это любовь тедди
Л-Ю-Б-О-В-Ь.	любовь
Слышь, Тед, а где, этот… Штопор?	слышь тед где этот… штопор
Такой суперский, помнишь?	такой суперский помнить
Тед?	тед
Эй!	эй
Тед? Тед! Тед, где этот дурацкий штопор?	тед тед тед дурацкий штопор
Джимми?	джимми
Моя сестра Сандра была чудной девочкой.	мой сестра сандра чудный девочка
Но ведь её убийца мёртв.	но её убийца мёртвый
Нет, жив.	нет живой
Смотри.	смотреть
Это Джейсон в детстве.	это джейсон детство
А это портрет Джейсона по описанию выжившей жертвы.	а это портрет джейсон описание выжить жертва
И тут — эти убийства.	и — убийство
Но его убили.	но убить
Тело Джейсона исчезло из морга.	тело джейсон исчезнуть морг
- Его украли. - Ничего подобного.	он украсть ничто подобный
Пропали два сотрудника больницы. Это что, совпадение?	пропасть сотрудник больница это что совпадение
Он жив.	он живой
Господи. Там же Томми.	господь там томми
Тёзка.	тёзка
Ух-ты.	ухта
ВОТ ТЕПЕРЬ МЫ ДОСТАТОЧНО ЗНАКОМЫ	вот теперь мы достаточно знакомый
Ну что, поцелуешь своего медвежонка?	ну что поцеловать свой медвежонок
Джимбо?	джимбо
Джимбо?	джимбо
Сара, кажется, я попал в рай.	сара кажется попасть рай
А я кажется влюбилась.	а кажется влюбиться
Что?	что
Жду на нижней койке.	ждать нижний койка
Сара? Ты передумала?	сара ты передумать
Залезай ко мне.	залезать к я
Здесь полно места. Споём дуэтом.	здесь полно место спеть дуэт
Это ты, Поли?	это ты поль
Поли.	поль
Поли, это ты?	поль это ты
Ой, Поли. Я мыло уронил.	ой поль я мыло уронить
Хорошо, что тебя нет рядом, дружище.	хорошо ряд дружище
Я пришла послушать, как ты поёшь.	я пришлый послушать петь
Пой дальше.	петь далёкий
Сэм! Сэм! Сэм!	сэм сэм сэм
Сэм!	сэм
Сэм! Сэм!	сэм сэм
Томми. Слава богу, ты жив.	томми слава бог живой
- Томми. - Что случилось?	томми что случиться
- Где мама? Вернулась? - Нет ещё.	где мама вернуться нет ещё
Позвоню в полицию.	позвонить полиция
Роб, в чём дело?	роба что дело
- Никакого сигнала нет. - Я схожу к соседям.	никакой сигнал нет я сходить сосед
- Я с тобой. - Нет.	я ты нет
Я пойду с тобой.	я пойти ты
- Запри дверь и сиди здесь. - Томми, держись.	запереть дверь сидеть здесь томми держаться
Гордон!	гордон
- Он был здесь. - Погоди, а если он ещё не ушёл?	он здесь погодить ещё уйти
Возьми. Держи.	взять держать
Я спущусь вниз. Вы с Гордоном стойте здесь.	я спуститься вниз вы гордон стоять здесь
- Нет. - Будьте здесь.	нет быть здесь
Гордон.	гордон
Гордон!	гордон
Гордон?	гордон
РЕЗНЯ НА ХРУСТАЛЬНОМ ОЗЕРЕ ВЫЖИЛ ОДИН ЧЕЛОВЕК	резня на хрустальный озеро выжить один человек
УБИЙЦА НАПАДАЕТ НА КАФЕ ВЛАДЕЛЕЦ С ЖЕНОЙ НАЙДЕНЫ МЁРТВЫМИ	убийца нападать на кафе владелец с жена найти мёртвый
КОШМАР НА ХРУСТАЛЬНОМ ОЗЕРЕ МЕСТНАЯ ЖИТЕЛЬНИЦА ЖЕСТОКО РАСПРАВИЛАСЬ С СЕМЬЮ ОТДЫХАЮЩИМИ	кошмар на хрустальный озеро местный жительница жестоко расправиться с семь отдыхать
Роб! Роб, он здесь! Он здесь!	роба роба здесь он здесь
Роб! Роб!	роба роба
Роб! Роб! Роб!	роба роба роба
Роб, он здесь!	роба здесь
- Он здесь. Он их всех убил. - Господи.	он здесь он убить господь
Чёрт. Помоги мне.	чёрт помочь я
- Надо взять нож. - Нет! Нет.	надо взять нож нет нет
Нет!	нет
Господи!	господь
Господи, он убьёт меня! Он убьёт меня!	господь убить я он убить я
Беги, Триш! Беги! Триш!	бежать триша бежать триша
Триш, беги!	триша бежать
Нет! Отпусти!	нет отпустить
Томми!	томми
- Двери заперты? - Да.	дверь запереть да
Неси молоток и гвозди, живо.	нести молоток гвоздь живо
- Он здесь? - Да.	он здесь да
Томми, скорей!	томми скорый
Помогите! Помогите!	помочь помочь
Помогите! Помогите! Отпусти!	помочь помочь отпустить
Спасите! Отпусти меня! Отпусти!	спасти отпустить я отпустить
Томми, помоги подвинуть.	томми помочь подвинуть
Где он?	где он
Что он делает? Что он задумал?	что делать что задумать
Слушай меня. Я его выманю его из дома.	слушай я я выманить дом
А ты сразу же беги со всех ног. Понял?	а сразу бежать нога понять
Беги, что есть силы, ладно?	бежать сила ладный
Господи!	господь
- Триш! - Томми, нет!	триша томми нет
Триш!	триша
Триш!	триша
Томми?	томми
Томми, ты же должен был сбежать!	томми должный сбежать
Томми! Томми, беги отсюда к чёрту!	томми томми бежать отсюда чёрт
Нет!	нет
Ну сукин сын.	ну сукин сын
Ты нас надолго запомнишь.	ты надолго запомнить
Джейсон!	джейсон
Джейсон!	джейсон
Помнишь меня, Джейсон?	помнить я джейсон
Вспоминай, Джейсон.	вспоминать джейсон
Вспомни, Джейсон.	вспомнить джейсон
Вспоминай, Джейсон.	вспоминать джейсон
Вспоминай.	вспоминать
Томми.	томми
Томми!	томми
Томми!	томми
Томми!	томми
Умри!	умереть
- Умри! - Томми!	умереть томми
Умри!	умереть
- Томми! - Умри.	томми умереть
Плечо придётся оперировать.	плечо прийтись оперировать
Но пусть чуть-чуть окрепнет.	но пусть чутьчуть окрепнуть
Отдохни хорошенько, девочка.	отдохнуть хорошенько девочка
Вы не ответили на мой вопрос.	вы ответить вопрос
Никто из вас не ответил.	никто ответить
Часто при крайней опасности люди могут вести себя	часто крайний опасность человек мочь вести
неадекватно.	неадекватно
Именно это произошло, когда ваш брат жестоко изувечил убийцу.	именно это произойти ваш брат жестоко изувечить убийца
На тот момент подобный способ защиты для него был нормой.	на момент подобный способ защита норма
С ним будет всё в порядке.	с весь порядок
А вам сейчас нужен покой.	а нужный покоить
Могу я повидаться с братом?	мочь повидаться брат
Конечно. Но не надолго.	конечно но надолго
Сейчас позову.	сейчас позвать
Томми.	томми
